[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_end ] --START--
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.000434s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.000465s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ route_check ] --START--
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Run CheckRoute Behavior [ RunTime:0.001029s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ route_check ] --END-- [ RunTime:0.001081s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ app_begin ] --START--
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000468s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000502s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --START--
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Run LocationTemplate Behavior [ RunTime:0.002025s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.002066s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --START--
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Run ParseTemplate Behavior [ RunTime:0.007693s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007737s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --START--
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Run ContentReplace Behavior [ RunTime:0.001958s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Run TokenBuild Behavior [ RunTime:0.000885s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000415s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowRuntime Behavior [ RunTime:0.001404s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004881s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --START--
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.001276s ]
[ 2018-04-13T17:56:11+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.001377s ]
[ 2018-04-13T17:56:10+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ route_check ] --START--
