[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.145599s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --START--
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Run ContentReplace Behavior [ RunTime:0.000347s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Run TokenBuild Behavior [ RunTime:0.000385s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000240s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000338s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001384s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --START--
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.001534s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.001585s ]
[ 2018-04-18T09:34:33+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ route_check ] --START--
[ 2018-04-18T09:34:33+08:00 ] /index.php/Admin/Goods/add | INFO: Run CheckRoute Behavior [ RunTime:0.019081s ]
[ 2018-04-18T09:34:33+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.019134s ]
[ 2018-04-18T09:34:33+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ app_begin ] --START--
[ 2018-04-18T09:34:33+08:00 ] /index.php/Admin/Goods/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.010051s ]
[ 2018-04-18T09:34:33+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010088s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | SQL: SELECT * FROM `category` WHERE cid>0  [ RunTime:0.000136s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_template ] --START--
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Run LocationTemplate Behavior [ RunTime:0.054487s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.054546s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_parse ] --START--
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Run ParseTemplate Behavior [ RunTime:0.056231s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.056271s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_filter ] --START--
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Run ContentReplace Behavior [ RunTime:0.014321s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Run TokenBuild Behavior [ RunTime:0.003374s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001304s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000646s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.019755s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_end ] --START--
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.012242s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.012286s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ route_check ] --START--
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Run CheckRoute Behavior [ RunTime:0.000693s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.000741s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ app_begin ] --START--
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000416s ]
[ 2018-04-18T09:34:35+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000444s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | SQL: SELECT * FROM `category` WHERE cid>0  [ RunTime:0.000076s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_template ] --START--
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000901s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000934s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_parse ] --START--
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Run ParseTemplate Behavior [ RunTime:0.005884s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005920s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_filter ] --START--
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Run ContentReplace Behavior [ RunTime:0.000347s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Run TokenBuild Behavior [ RunTime:0.000399s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000240s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000408s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001501s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_end ] --START--
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.001248s ]
[ 2018-04-18T09:34:36+08:00 ] /index.php/Admin/Goods/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.001279s ]
[ 2018-04-18T09:35:32+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-18T09:35:32+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000764s ]
[ 2018-04-18T09:35:32+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000978s ]
[ 2018-04-18T09:35:32+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-18T09:35:32+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000356s ]
[ 2018-04-18T09:35:32+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000386s ]
[ 2018-04-18T09:35:32+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --START--
